相川,アイカワ
大泉,オオイズミ
大出,オオイデ
大岩,オオイワ
大上,オオウエ
大内,オオウチ
大浦,オオウラ
大江,オオエ
大岡,オオオカ
大賀,オオガ
大垣,オオガキ
大川,オオカワ
大河原,オオカワラ
大木,オオキ
大串,オオグシ
大久保,オオクボ
大窪,オオクボ
大熊,オオクマ
大倉,オオクラ
大黒,オオグロ
大河内,オオコウチ
大越,オオゴシ
大坂,オオサカ
大崎,オオサキ
大迫,オオサコ
大里,オオサト
大沢,オオサワ
大澤,オオサワ
大下,オオシタ
大島,オオシマ
大嶋,オオシマ
大城,オオシロ
大須賀,オオスガ
大杉,オオスギ
大隅,オオスミ
大関,オオゼキ
太田,オオタ
大田,オオタ
大高,オオタカ
大滝,オオタキ
大竹,オオタケ
大谷,オオタニ
大津,オオツ
大塚,オオツカ
大槻,オオツキ
大月,オオツキ
大坪,オオツボ
大友,オオトモ
大西,オオニシ
大庭,オオバ
大貫,オオヌキ
大沼,オオヌマ
大野,オオノ
大場,オオバ
大橋,オオハシ
大畑,オオハタ
大畠,オオハタ
大浜,オオハマ
大林,オオバヤシ
大原,オオハラ
大平,オオヒラ
大藤,オオフジ
大堀,オオボリ
大前,オオマエ
大町,オオマチ
大道,オオミチ
大宮,オオミヤ
大村,オオムラ
大本,オオモト
大森,オオモリ
大矢,オオヤ
大屋,オオヤ
大山,オオヤマ
大脇,オオワキ
大和田,オオワダ
岡,オカ
岡崎,オカザキ
小笠原,オガサワラ
岡島,オカジマ
岡田,オカダ
緒方,オガタ
尾形,オガタ
岡野,オカノ
岡林,オカバヤシ
岡部,オカベ
岡村,オカムラ
岡本,オカモト
岡元,オカモト
岡安,オカヤス
岡山,オカヤマ
小川,オガワ
沖,オキ
小木曽,オギソ
沖田,オキタ
沖野,オキノ
荻野,オギノ
沖本,オキモト
荻原,オギワラ
奥,オク
奥井,オクイ
奥田,オクダ
奥谷,オクヤ
奥野,オクノ
奥原,オクハラ
奥平,オクヒラ
小熊,オグマ
奥村,オクムラ
奥本,オクモト
奥山,オクヤマ
小倉,オグラ
小椋,オグラ
小栗,オグリ
小黒,オグロ
尾崎,オザキ
長田,オサダ
小山内,オサナイ
長内,オサナイ
小沢,オザワ
小澤,オザワ
押田,オシダ
尾関,オゼキ
小田,オダ
織田,オダ
尾田,オダ
小高,オダカ
小田切,オダギリ
小田島,オダジマ
小田原,オダワラ
越智,オチ
落合,オチアイ
鬼塚,オニヅカ
小貫,オヌキ
小野,オノ
尾上,オノウエ
小野沢,オノザワ
小野田,オノダ
小野塚,オノヅカ
小野寺,オノデラ
小畑,オバタ
小幡,オバタ
小浜,オバマ
小原,オハラ
小俣,オマタ
小村,オムラ
小山田,オヤマダ
折田,オリタ
折原,オリハラ
恩田,オンダ
甲斐,カイ
加賀,カガ
加賀谷,カガヤ
香川,カガワ
垣内,カキウチ
柿崎,カキザキ
柿沼,カキヌマ
柿原,カキハラ
柿本,カキモト
角,カク
加来,カク
角田,カクタ
角谷,カクタニ
角野,カクノ
影山,カゲヤマ
景山,カゲヤマ
河口,カワグチ
笠井,カサイ
葛西,カサイ
河西,カサイ
笠原,カサハラ
風間,カザマ
笠松,カサマツ
梶,カジ
加地,カジ
梶川,カジカワ
梶田,カジタ
梶谷,カジタニ
鹿島,カシマ
梶本,カジモト
梶山,カジヤマ
柏,カシワ
柏木,カシワギ
柏崎,カシワザキ
柏原,カシワバラ
梶原,カジワラ
春日,カスガ
粕谷,カスヤ
加瀬,カセ
片岡,カタオカ
片桐,カタギリ
片倉,カタクラ
片野,カタノ
片平,カタヒラ
片山,カタヤマ
香月,カツキ
勝田,カツタ
勝野,カツノ
勝部,カツベ
勝又,カツマタ
勝俣,カツマタ
勝山,カツヤマ
桂,カツラ
加藤,カトウ
門田,カドタ
香取,カトリ
門脇,カドワキ
金井,カナイ
金崎,カナザキ
金沢,カナザワ
金澤,カナザワ
金丸,カナマル
金森,カナモリ
金谷,カナヤ
金山,カナヤマ
金川,カネカワ
金子,カネコ
兼子,カネコ
金城,カネシロ
金田,カネダ
兼田,カネダ
金光,カネミツ
金本,カネモト
加納,カノウ
鎌倉,カマクラ
鎌田,カマタ
神,カムラ
神尾,カミオ
上岡,カミオカ
上川,カミカワ
上島,カミシマ
上条,カミジョウ
神谷,カミヤ
神山,カミヤマ
上山,カミヤマ
亀井,カメイ
亀岡,カメオカ
亀田,カメダ
亀谷,カメタニ
亀山,カメヤマ
加茂,カモ
茅野,カヤノ
唐沢,カラサワ
狩野,コウノ
河合,カワイ
川合,カワイ
川井,カワイ
河井,カワイ
河内,カワウチ
川内,カワウチ
川上,カワカミ
河上,カワカミ
川岸,カワギシ
川北,カワキタ
川口,カワグチ
川久保,カワクボ
川越,カワゴエ
川崎,カワサキ
河崎,カワサキ
川﨑,カワサキ
川島,カワシマ
川嶋,カワシマ
河島,カワシマ
川尻,カワジリ
川瀬,カワセ
川添,カワゾエ
川田,カワタ
河田,カワダ
河津,カワツ
川名,カワナ
川西,カワニシ
川野,カワノ
川畑,カワハタ
川端,カワバタ
河端,カワバタ
川原,カワハラ
川辺,カワベ
河辺,カワベ
川又,カワマタ
川俣,カワマタ
川村,カワムラ
河村,カワムラ
川本,カワモト
河本,カワモト
河原,カワラ
神崎,カンザキ
神田,カンダ
菅野,カンノ
神野,カンノ
神林,カンバヤシ
神原,カンバラ
木内,キウチ
菊川,キクカワ
菊田,キクタ
菊地,キクチ
菊池,キクチ
木口,キグチ
木崎,キザキ
岸,キシ
岸川,キシカワ
岸田,キシダ
岸野,キシノ
木島,キジマ
岸本,キシモト
喜多,キタ
北,キタ
木田,キダ
喜田,キダ
北井,キタイ
北浦,キタウラ
北尾,キタオ
北岡,キタオカ
北川,キタガワ
北口,キタグチ
北沢,キタザワ
北澤,キタザワ
北島,キタジマ
北田,キタダ
木谷,キタニ
北野,キタノ
北林,キタバヤシ
北原,キタハラ
北村,キタムラ
北本,キタモト
北山,キタヤマ
木戸,キド
城戸,キド
鬼頭,オニガシラ
木野,キノ
木下,キノシタ
木原,キハラ
君島,キミジマ
木村,キムラ
木本,キモト
木元,キモト
木山,キヤマ
清川,キヨカワ
清田,キヨタ
清野,キヨノ
清原,キヨハラ
清宮,キヨミヤ
吉良,ヨシナガ
桐原,キリハラ
桐山,キリヤマ
桐生,キリュウ
金,キン
金野,キンノ
金原,カネハラ
久我,クガ
日下,クサカ
日下部,クサカベ
草野,クサノ
草間,クサマ
具志堅,グシケン
櫛田,クシダ
楠田,クスダ
楠,クスノキ
楠本,クスモト
工藤,クドウ
国井,クニイ
国本,クニモト
国吉,クニヨシ
久野,クノ
久保,クボ
久保田,クボタ
窪田,クボタ
熊谷,クマガイ
熊木,クマキ
熊倉,クマクラ
熊崎,クマザキ
熊沢,クマザワ
熊田,クマダ
熊野,クマノ
熊本,クマモト
久米,クメ
倉島,クラシマ
倉田,クラタ
倉橋,クラハシ
倉持,クラモチ
倉本,クラモト
栗栖,クリス
栗田,クリタ
栗林,クリバヤシ
栗原,クリハラ
栗本,クリモト
栗山,クリヤマ
黒岩,クロイワ
黒川,クロカワ
黒木,クロキ
黒崎,クロサキ
黒沢,クロサワ
黒澤,クロサワ
黒須,クロス
黒瀬,クロセ
黒田,クロダ
桑田,クワタ
桑名,クワナ
桑野,クワノ
桑原,クワハラ
桑山,クワヤマ
郡司,グンジ
原野,ハラノ
小池,コイケ
小泉,コイズミ
小出,コイデ
高,コウ
高原,タカハラ
向後,コウゴ
高坂,コウサカ
幸田,コウダ
甲田,コウダ
合田,ゴウダ
河野,コウノ
神戸,コウベ
古賀,コガ
小河,オガワ
小口,コグチ
国分,コクブ
小久保,コクボ
小暮,コグレ
木暮,コグレ
小坂,コサカ
小崎,コザキ
越川,コシカワ
小柴,コシバ
小島,コジマ
小嶋,コジマ
児島,コジマ
小菅,コスガ
小杉,コスギ
小関,コセキ
小滝,コタキ
小竹,コタケ
小谷,コタニ
児玉,コダマ
小玉,コダマ
小塚,コヅカ
小寺,コデラ
後藤,ゴトウ
五島,ゴトウ
小西,コニシ
小沼,コヌマ
木場,コバ
小橋,コハシ
木幡,コハタ
小早川,コバヤカワ
小林,コバヤシ
小堀,コボリ
駒井,コマイ
小牧,コマキ
駒田,コマダ
小松,コマツ
小松崎,コマツザキ
小松原,コマツバラ
五味,ゴミ
小峰,コミネ
小宮,コミヤ
小宮山,コミヤマ
小室,コムロ
小森,コモリ
小柳,コヤナギ
小谷野,コヤノ
小山,コヤマ
権田,ゴンダ
近藤,コンドウ
権藤,ゴンドウ
今野,コンノ
紺野,コンノ
根本,ネモト
斎木,サイキ
斎藤,サイトウ
斉藤,サイトウ
齋藤,サイトウ
齊藤,サイトウ
佐伯,サエキ
三枝,サエグサ
坂,サカ
酒井,サカイ
坂井,サカイ
境,サカイ
堺,サカイ
坂上,サカガミ
阪上,サカガミ
榊,サカキ
榊原,サカキバラ
坂口,サカグチ
阪口,サカグチ
坂倉,サカクラ
坂下,サカシタ
坂田,サカタ
阪田,サカタ
坂根,サカネ
坂野,サカノ
坂部,サカベ
坂巻,サカマキ
坂本,サカモト
阪本,サカモト
坂元,サカモト
相良,サガラ
佐川,サガワ
崎山,サキヤマ
作田,サクタ
佐久間,サクマ
桜井,サクライ
櫻井,サクライ
桜木,サクラギ
桜田,サクラダ
桜庭,サクラバ
迫,サコ
迫田,サコタ
佐々,ササ
笹井,ササイ
笹岡,ササオカ
笹川,ササガワ
佐々木,ササキ
笹木,ササキ
笹田,ササダ
笹原,ササハラ
笹本,ササモト
笹山,ササヤマ
佐瀬,サセ
佐田,サダ
佐竹,サタケ
佐藤,サトウ
里見,サトミ
真田,サナダ
佐野,サノ
佐原,サハラ
鮫島,サメジマ
佐山,サヤマ
猿渡,サルワタリ
沢,サワ
澤,サワ
沢井,サワイ
澤井,サワイ
沢口,サワグチ
沢田,サワダ
澤田,サワダ
沢野,サワノ
沢村,サワムラ
三角,ミスミ
山地,ヤマジ
三瓶,サンペイ
椎名,シイナ
椎野,シイノ
椎葉,シイバ
塩川,シオカワ
塩崎,シオザキ
塩沢,シオザワ
塩田,シオタ
塩谷,シオタニ
塩野,シオノ
塩原,シオハラ
塩見,シオミ
志賀,シガ
鹿野,シカノ
重田,シゲタ
重松,シゲマツ
宍戸,シシド
志田,シダ
下地,シモジ
設楽,シタラ
品川,シナガワ
品田,シナダ
篠崎,シノザキ
篠田,シノダ
篠塚,シノヅカ
篠原,シノハラ
芝,シバ
柴,シバ
柴崎,シバザキ
柴田,シバタ
芝田,シバタ
柴原,シバハラ
柴山,シバヤマ
渋谷,シブタニ
四方,シカタ
島,シマ
嶋,シマ
島崎,シマザキ
嶋崎,シマザキ
島田,シマダ
嶋田,シマダ
島津,シマヅ
島野,シマノ
島袋,シマブクロ
島村,シマムラ
嶋村,シマムラ
島本,シマモト
清水,シミズ
志水,シミズ
志村,シムラ
下川,シモカワ
下田,シモダ
下平,シモヒラ
下野,シモノ
下村,シモムラ
下山,シモヤマ
所,トコロ
庄司,ショウジ
庄子,ショウジ
正田,ショウダ
小平,コダイラ
白井,シライ
白岩,シライワ
白川,シラカワ
白木,シラキ
白崎,シラサキ
白田,シラタ
白土,シラツチ
白鳥,シラトリ
白浜,シラハマ
白水,シラミズ
城,ジョウ
白石,シライシ
城田,シロタ
城間,シロマ
新,シン
新海,シンカイ
新開,シンカイ
新垣,シンガキ
新川,アラカワ
新居,アライ
新家,ニイノミ
新里,ニイサト
新城,シンジョウ
新谷,シンタニ
進藤,シンドウ
新藤,シンドウ
新野,シンノ
新保,シンボ
神保,ジンボウ
新堀,シンボリ
水田,ミズタ
末次,スエツグ
末永,スエナガ
末広,スエヒロ
末松,スエマツ
末吉,スエヨシ
菅,スガ
須賀,スガ
菅井,スガイ
須貝,スガイ
菅田,スガタ
菅沼,スガヌマ
菅谷,スガヤ
菅原,スガワラ
杉,スギ
杉浦,スギウラ
杉江,スギエ
杉岡,スギオカ
杉崎,スギサキ
杉田,スギタ
杉谷,スギタニ
杉野,スギノ
杉原,スギハラ
杉村,スギムラ
杉本,スギモト
杉森,スギモリ
杉山,スギヤマ
助川,スケガワ
須崎,スザキ
鈴木,スズキ
鈴村,スズムラ
須田,スダ
須藤,スドウ
首藤,スドウ
須永,スナガ
砂川,スナガワ
砂田,スナダ
住田,スミダ
隅田,スミダ
住吉,スミヨシ
須山,スヤマ
陶山,スヤマ
諏訪,スワ
清家,セイケ
瀬尾,セノオ
瀬川,セガワ
関,セキ
関川,セキカワ
関口,セキグチ
関田,セキタ
関戸,セキド
関根,セキネ
関野,セキノ
関本,セキモト
関谷,セキヤ
瀬戸,セト
瀬戸口,セトグチ
妹尾,セノオ
芹沢,セリザワ
千田,チダ
仙波,センバ
相馬,ソウマ
副島,ソエジマ
添田,ソエダ
曽我,ソガ
曽我部,ソガベ
外山,トヤマ
曽根,ソネ
曾根,ソネ
園田,ソノダ
園部,ソノベ
染谷,ソメヤ
田井,タイ
大家,オオイエ
大東,ダイトウ
大門,オオカド
平,タイラ
平良,タイラ
多賀,タガ
高井,タカイ
高石,タカイシ
高尾,タカオ
高岡,タカオカ
高垣,タカガキ
高木,タカギ
高久,タカク
高倉,タカクラ
高桑,タカクワ
高崎,タカサキ
高沢,タカサワ
高島,タカシマ
高嶋,タカシマ
田頭,タガシラ
高城,タカギ
高須,タカス
高杉,タカスギ
高瀬,タカセ
高田,タカダ
高谷,タカタニ
高津,タカツ
高塚,タカツカ
高梨,タカナシ
高野,タカノ
高橋,タカハシ
高畑,タカハタ
高畠,タカハタ
高浜,タカハマ
高林,タカバヤシ
高松,タカマツ
高見,タカミ
高宮,タカミヤ
高村,タカムラ
高本,タカモト
高森,タカモリ
高安,タカヤス
高柳,タカヤナギ
高山,タカヤマ
高良,タカラ
田川,タガワ
滝,タキ
滝川,タキガワ
滝口,タキグチ
滝沢,タキザワ
滝田,タキタ
滝本,タキモト
田口,タグチ
武井,タケイ
竹井,タケイ
武石,タケイシ
武市,タケイチ
竹内,タケウチ
武内,タケウチ
竹川,タケガワ
竹沢,タケザワ
竹下,タケシタ
竹島,タケシマ
武田,タケダ
竹田,タケダ
竹谷,タケタニ
竹中,タケナカ
竹野,タケノ
竹之内,タケノウチ
竹原,タケハラ
竹村,タケムラ
武村,タケムラ
竹本,タケモト
武本,タケモト
竹森,タケモリ
竹山,タケヤマ
武山,タケヤマ
田坂,タサカ
田崎,タザキ
田沢,タザワ
田島,タジマ
田嶋,タジマ
田尻,タジリ
田代,タシロ
多田,タダ
舘,タチ
立川,タチカワ
橘,タチバナ
立花,タチバナ
辰巳,タツミ
巽,タツミ
伊達,ダテ
立石,タテイシ
立野,タテノ
立山,タテヤマ
田所,タドコロ
田中,タナカ
田仲,タナカ
棚橋,タナハシ
田辺,タナベ
谷,タニ
谷内,タニウチ
谷岡,タニオカ
谷川,タニガワ
谷口,タニグチ
谷崎,タニザキ
谷沢,タニザワ
谷田,タニダ
谷中,タニナカ
谷野,タニノ
谷村,タニムラ
谷本,タニモト
谷山,タニヤマ
田沼,タヌマ
田野,タノ
田上,タノウエ
田畑,タハタ
田端,タバタ
田原,タハラ
田渕,タブチ
田淵,タブチ
田部,タベ
田部井,タベイ
玉井,タマイ
玉置,タマオキ
玉川,タマガワ
玉木,タマキ
玉城,タマシロ
玉田,タマダ
田丸,タマル
田宮,タミヤ
田村,タムラ
田山,タヤマ
丹下,タンゲ
丹治,タンジ
丹野,タンノ
竹林,タケバヤシ
知念,チネン
千野,チノ
千葉,チバ
千原,チハラ
中元,ナカモト
中條,ナカジョウ
中道,ナカミチ
長,オサ
塚越,ツカコシ
塚田,ツカダ
塚原,ツカハラ
塚本,ツカモト
津川,ツガワ
津久井,ツクイ
佃,ツクダ
柘植,ツゲ
辻,ツジ
辻井,ツジイ
辻田,ツジタ
辻野,ツジノ
対馬,ツシマ
津島,ツシマ
辻村,ツジムラ
辻本,ツジモト
津田,ツダ
土田,ツチダ
土屋,ツチヤ
土谷,ツチヤ
筒井,ツツイ
都築,ツヅキ
堤,ツツミ
津野,ツノ
椿,ツバキ
坪井,ツボイ
坪内,ツボウチ
坪田,ツボタ
津村,ツムラ
露木,ツユキ
鶴岡,ツルオカ
鶴田,ツルタ
鶴見,ツルミ
出口,デグチ
手島,テシマ
手嶋,テジマ
手塚,テヅカ
寺井,テライ
寺内,テラウチ
寺尾,テラオ
寺岡,テラオカ
寺門,テラカド
寺川,テラカワ
寺崎,テラサキ
寺沢,テラサワ
寺島,テラシマ
寺嶋,テラジマ
寺田,テラダ
寺西,テラニシ
寺村,テラムラ
寺本,テラモト
寺山,テラヤマ
照井,テルイ
照屋,テルヤ
土井,ドイ
土居,ドイ
土肥,ドイ
東海林,ショウジ
東郷,トウゴウ
東条,トウジョウ
東野,ヒガシノ
藤間,トウマ
遠山,トオヤマ
富樫,トガシ
戸川,トガワ
土岐,トキ
時田,トキタ
常盤,トキワ
徳田,トクダ
徳永,トクナガ
徳丸,トクマル
徳山,トクヤマ
戸田,トダ
戸谷,トタニ
戸塚,トツカ
鳥羽,トバ
土橋,ドバシ
飛田,トビタ
富岡,トミオカ
冨岡,トミオカ
富沢,トミザワ
富田,トミタ
冨田,トミタ
富永,トミナガ
冨永,トミナガ
冨山,トミヤマ
戸村,トムラ
伴,ハン
友田,トモダ
富山,トヤマ
豊岡,トヨオカ
豊島,トヨシマ
豊田,トヨタ
鳥居,トリイ
鳥井,トリイ
鳥海,トリウミ
鳥越,トリゴエ
鳥山,トリヤマ
内藤,ナイトウ
直井,ナオイ
中,ナカ
仲,ナカ
中井,ナカイ
中居,ナカイ
仲井,ナカイ
永井,ナガイ
長井,ナガイ
中江,ナカエ
長江,ナガエ
中尾,ナカオ
長尾,ナガオ
永尾,ナガオ
中岡,ナカオカ
長岡,ナガオカ
永岡,ナガオカ
中垣,ナカガキ
中上,ナカガミ
中川,ナカガワ
仲川,ナカガワ
中込,ナカゴメ
長坂,ナガサカ
中崎,ナカサキ
長崎,ナガサキ
中里,ナカザト
仲里,ナカザト
中沢,ナカザワ
中澤,ナカザワ
長沢,ナガサワ
長澤,ナガサワ
中島,ナカジマ
中嶋,ナカジマ
長島,ナガシマ
永島,ナガシマ
長嶋,ナガシマ
中条,ナカジョウ
中瀬,ナカセ
長瀬,ナガセ
永瀬,ナガセ
仲宗根,ナカソネ
中園,ナカゾノ
中田,ナカダ
仲田,ナカダ
永田,ナガタ
中谷,ナカタニ
仲谷,ナカタニ
中津,ナカツ
中塚,ナカツカ
中辻,ナカツジ
長友,ナガトモ
中西,ナカニシ
長沼,ナガヌマ
中根,ナカネ
中野,ナカノ
仲野,ナカノ
長野,ナガノ
永野,ナガノ
中橋,ナカハシ
中畑,ナカハタ
長浜,ナガハマ
中林,ナカバヤシ
中原,ナカハラ
永原,ナガハラ
中平,ナカヒラ
仲間,ナカマ
永松,ナガマツ
長嶺,ナガミネ
中村,ナカムラ
仲村,ナカムラ
中本,ナカモト
仲本,ナカモト
中森,ナカモリ
中屋,ナカヤ
長屋,ナガヤ
永谷,ナガヤ
中山,ナカヤマ
永山,ナガヤマ
長山,ナガヤマ
南雲,ナグモ
名倉,ナクラ
那須,ナス
夏目,ナツメ
名取,ナトリ
鍋島,ナベシマ
並木,ナミキ
奈良,ナラ
成沢,ナルサワ
成田,ナリタ
成瀬,ナルセ
鳴海,ナルミ
難波,ナンバ
南部,ナンブ
新倉,ニイクラ
新妻,ニイヅマ
新美,ニイミ
新村,ニイムラ
新山,ニイヤマ
二階堂,ニカイドウ
二木,ニキ
仁木,ニキ
西,ニシ
西井,ニシイ
西浦,ニシウラ
西尾,ニシオ
西岡,ニシオカ
西垣,ニシガキ
西川,ニシカワ
錦織,ニシキオリ
西口,ニシグチ
西崎,ニシザキ
西沢,ニシザワ
西澤,ニシザワ
西島,ニシジマ
西嶋,ニシジマ
西田,ニシダ
西谷,ニシタニ
西出,ニシデ
仁科,ニシナ
西野,ニシノ
西原,ニシハラ
西村,ニシムラ
西本,ニシモト
西森,ニシモリ
西山,ニシヤマ
西脇,ニシワキ
新田,ニッタ
二宮,ニノミヤ
二瓶,ニヘイ
仁平,ニヘイ
二村,ニムラ
丹羽,ニワ
布川,ヌノカワ
沼田,ヌマタ
根岸,ネギシ
根津,ネヅ
野上,ノガミ
野口,ノグチ
野坂,ノサカ
野崎,ノザキ
野沢,ノザワ
野澤,ノザワ
野地,ノジ
野島,ノジマ
野尻,ノジリ
野瀬,ノセ
能勢,ノセ
野田,ノダ
能登,ノト
野中,ノナカ
野々村,ノノムラ
野原,ノハラ
信田,ノブタ
野間,ノマ
野村,ノムラ
野本,ノモト
野呂,ノロ
芳賀,ハガ
羽賀,ハガ
袴田,ハカマダ
萩野,ハギノ
萩原,ハギワラ
橋口,ハシグチ
橋田,ハシダ
橋爪,ハシヅメ
橋詰,ハシヅメ
橋場,ハシバ
橋本,ハシモト
蓮見,ハスミ
長谷,ハセ
長谷川,ハセガワ
長谷部,ハセベ
秦,ハタ
羽田,ハタ
畑,ハタ
畠山,ハタケヤマ
畑山,ハタケヤマ
畑中,ハタナカ
畠中,ハタナカ
波多野,ハタノ
羽田野,ハタノ
蜂谷,ハチヤ
八田,ハッタ
服部,ハットリ
羽鳥,ハトリ
花井,ハナイ
花岡,ハナオカ
花田,ハナダ
花房,ハナブサ
塙,ハナワ
羽生,ハニュウ
馬場,ババ
浜,ハマ
浜口,ハマグチ
浜崎,ハマサキ
浜島,ハマシマ
浜田,ハマダ
濱田,ハマダ
浜中,ハマナカ
浜野,ハマノ
浜村,ハマムラ
浜本,ハマモト
早川,ハヤカワ
早坂,ハヤサカ
林,ハヤシ
林田,ハヤシダ
